Car_ID,BrandName,Type,Transmission,LuggageSize,SeatNumber,ReleaseYear,Total_Rent_January,Total_Rent_February,Total_Rent_March,Total_Rent_April,Total_Rent_May,Total_Rent_June,Total_Rent_July,Total_Rent_August,Total_Rent_September,Total_Rent_October,Total_Rent_November,Total_Rent_December
14806,LAND ROVER,4D WAGON,6A,8,7,2006,8,7,5,32,4,3,45,3,2,23,4,23
14810,LAND ROVER,4D WAGON,4A4x4,4,5,1996,6,6,4,4,5,3,5,34,3,2,5,3
14811,LAND ROVER,3D HARDBACK,5M4x4,4,5,2000,46,8,5,4,55,4,5,4,3,34,6,4
14812,LAND ROVER,4D WAGON,4A,7,7,1999,5,5,3,5,5,45,5,3,4,55,64,5
14813,LAND ROVER,4D WAGON,4A4x4,5,5,1994,50,4,56,56,54,5,4,3,4,5,5,6
14814,LAND ROVER,4D WAGON,4A,1,7,2004,37,36,6,3,4,6,4,3,2,3,34,34
14815,LAND ROVER,2D HARDTOP,4M4x4,7,8,1978,48,4,7,,55,6,3,4,2,32,5,2
14816,LAND ROVER,4D WAGON,4A,3,7,2003,3,5,5,2,5,4,3,4,23,21,32,2
14817,LAND ROVER,4D WAGON,5M,1,5,2003,7,3,4,2,5,4,2,5,4,23,44,3
14818,LAND ROVER,4D WAGON,5M4x4,4,5,1998,21,2,3,4,0,44,2,6,5,34,,4
14819,LAND ROVER,2D HARDTOP,4M4x4,8,12,1972,30,4,5,5,6,,22,23,5,,4,4
14831,BMW,4D WAGON,6A,2,5,2004,26,5,6,6,6,5,2,34,2,54,4,5
14832,BMW,4D SEDAN,5AS,8,5,2002,45,6,7,6,54,5,3,3,3,65,4,6
14833,BMW,4D SEDAN,5M,5,5,1996,22,7,5,3,4,6,45,4,3,43,4,7
14834,BMW,2D CONVERTIBLE,5AS,6,5,2001,34,4,4,2,4,,55,5,4,21,4,5
14835,BMW,4D SEDAN,4A,1,5,1987,21,5,3,1,6,7,6,2,5,3,5,4
14836,BMW,4D SEDAN,6AS,2,5,2005,31,6,5,2,6,6,6,3,5,3,3,3
14837,BMW,4D WAGON,6AS,5,5,2006,24,43,5,25,5,5,6,3,34,3,2,3
14838,BMW,4D SEDAN,5A,5,5,1996,21,4,6,2,4,4,6,2,2,33,34,2
14839,BMW,3D HATCHBACK,5M,1,5,1995,25,5,7,2,4,4,6,2,23,3,4,2
14842,BMW,4D SEDAN,6AS,6,5,2005,25,6,67,2,4,5,6,2,3,3,5,3
14843,BMW,4D SEDAN,5AS,7,5,2001,1,7,5,22,44,5,6,2,4,3,4,4
14846,BMW,4D WAGON,5AS,8,5,2004,2,5,5,4,4,5,6,22,5,3,32,5
14847,BMW,4D SEDAN,4A,8,5,1998,5,34,4,4,5,4,6,3,3,3,31,6
14850,BMW,4D SEDAN,4A,8,5,1984,4,3,4,5,5,4,6,4,2,4,3,4
14851,BMW,4D SEDAN,5AS,3,5,2005,3,2,5,3,6,45,4,5,3,5,,3
