Store_ID,Store_Name,Store_Address,Store_Phone,Store_City,Store_State_Name
1,Alexandria_stroe,3761 N. 14th St,1 (11) 543 535-0162,Alexandria                    ,New South Wales
2,Coffs Harbour_store,2243 W St.,1 (11) 543 535-0110,Coffs Harbour                 ,New South Wales
3,Darlinghurst_store,5844 Linden Land,1 (11) 543 535-0184,Darlinghurst                  ,New South Wales
4,Goulburn_store,1825 Village Pl.,1 (11) 543 535-0162,Goulburn                      ,New South Wales
5,Lane Cove_store,7553 Harness Circle,1 (11) 543 535-0131,Lane Cove                     ,New South Wales
6,Lavender Bay_store,7305 Humphrey Drive,1 (11) 543 535-0151,Lavender Bay                  ,New South Wales
7,Malabar_store,2612 Berry Dr,1 (11) 543 535-0184,Malabar                       ,New South Wales
8,Matraville_store,942 Brook Street,1 (11) 543 535-0126,Matraville                    ,New South Wales
9,Milsons Point_store,624 Peabody Road,1 (11) 543 535-0164,Milsons Point                 ,New South Wales
10,Newcastle_store,3839 Northgate Road,1 (11) 543 535-0110,Newcastle                     ,New South Wales
11,North Ryde_store,7800 Corrinne Court,1 (11) 543 535-0169,North Ryde                    ,New South Wales
12,North Sydney_store,1224 Shoenic,1 (11) 543 535-0117,North Sydney                  ,New South Wales
13,Port Macquarie_store,4785 Scott Street,717-535-0164,Port Macquarie                ,New South Wales
14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales
15,Silverwater_store,9011 Tank Drive,431-535-0156,Silverwater                   ,New South Wales
16,Springwood_store,244 Willow Pass Road,208-535-0142,Springwood                    ,New South Wales
17,St. Leonards_store,9666 Northridge Ct.,135-535-0171,St. Leonards                  ,New South Wales
18,Sydney_store,7330 Saddlehill Lane,1 (11) 543 535-0195,Sydney                        ,New South Wales
19,Wollongong_store,244 Rivewview,1 (11) 543 535-0137,Wollongong                    ,New South Wales
20,Brisbane_store,7832 Landing Dr,262-535-0112,Brisbane                      ,Queensland
21,Caloundra_store,7156 Rose Dr.,550-535-0163,Caloundra                     ,Queensland
22,East Brisbane_store,8148 W. Lake Dr.,622-535-0158,East Brisbane                 ,Queensland
23,Gold Coast_store,1769 Nicholas Drive,589-535-0185,Gold Coast                    ,Queensland
24,Hawthorne_store,4499 Valley Crest,452-535-0188,Hawthorne                     ,Queensland
25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland
26,Rockhampton_store,2596 Franklin Canyon Road,1 (11) 543 535-0178,Rockhampton                   ,Queensland
27,Townsville_store,8211 Leeds Ct.,1 (11) 543 535-0131,Townsville                    ,Queensland
28,Cloverdale_store,213 Valencia Place,1 (11) 543 535-0184,Cloverdale                    ,South Australia
29,Findon_store,9111 Rose Ann Ave,1 (11) 543 535-0116,Findon                        ,South Australia
30,Perth_store,6385 Mark Twain,1 (11) 543 535-0146,Perth                         ,South Australia
31,Hobart_store,636 Vine Hill Way,1 (11) 543 535-0182,Hobart                        ,Tasmania
32,Bendigo_store,6465 Detroit Ave.,1 (11) 543 535-0195,Bendigo                       ,Victoria
33,Cranbourne_store,626 Bentley Street,1 (11) 543 535-0169,Cranbourne                    ,Victoria
34,Geelong_store,5927 Rainbow Dr,1 (11) 543 535-0137,Geelong                       ,Victoria
35,Melbourne_store,5167 Condor Place,1 (11) 543 535-0136,Melbourne                     ,Victoria
36,Melton_store,1873 Mt. Whitney Dr,1 (11) 543 535-0177,Melton                        ,Victoria
37,Seaford_store,3981 Augustine Drive,115-535-0183,Seaford                       ,Victoria
38,South Melbourne_store,8915 Woodside Way,229-535-0112,South Melbourne               ,Victoria
39,Sunbury_store,8357 Sandy Cove Lane,1 (11) 543 535-0114,Sunbury                       ,Victoria
40,Warrnambool_store,9353 Creekside Dr.,1 (11) 543 535-0183,Warrnambool                   ,Victoria
